"icd9"	"icd9_string"	"phewas_code"	"phewas_string"	"exclude_range"	"rollup_bool"	"Ignore_bool"	"sex"	"pregnancy_related"	"category"	"category_string"
"004.2"	"Shigella boydii"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004.3"	"Shigella sonnei"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004.8"	"Other specified shigella infections"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004.9"	"Shigellosis NOS"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005"	"Other food poisoning (bacterial)"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.0"	"Staphylococcal food poisoning"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.1"	"Botulism food poisoning"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.2"	"Food poisoning due to Clostridium perfringens [C. welchii]"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.3"	"Food poisoning due to other Clostridia"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.4"	"Food poisoning due to Vibrio parahaemolyticus"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.8"	"Other bacterial food poisoning"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.81"	"Food poisoning due to Vibrio vulnificus"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.89"	"Other bacterial food poisoning"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"005.9"	"Food poisoning NOS"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006"	"Amebiasis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.0"	"Acute amebic dysentery without mention of abscess"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.1"	"Chronic intestinal amebiasis without mention of abscess"	"008.7"	"Intestinal infection due to protozoa"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"006.2"	"Amebic nondysenteric colitis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.3"	"Amebic liver abscess"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.4"	"Amebic lung abscess"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.5"	"Amebic brain abscess"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.6"	"Amebic skin ulceration"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.8"	"Amebic infection of other sites"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"006.9"	"Amebiasis NOS"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"007"	"Other protozoal intestinal diseases"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"007.0"	"Balantidiasis"	"008.7"	"Intestinal infection due to protozoa"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"007.1"	"Giardiasis"	"008.7"	"Intestinal infection due to protozoa"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"007.2"	"Coccidiosis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"007.3"	"Intestinal trichomoniasis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"007.4"	"Cryptosporidiosis"	"008.7"	"Intestinal infection due to protozoa"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"007.5"	"Cyclosporiasis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"007.8"	"Other specified protozoal intestinal diseases"	"008.7"	"Intestinal infection due to protozoa"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"007.9"	"Unspecified protozoal intestinal disease"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"008"	"Intestinal infections due to other organisms"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"008.0"	"Intestinal infection due to escherichia coli [E. coli]"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.00"	"Intestinal infection due to unspecified E. coli"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.01"	"Intestinal infection due to enteropathogenic E. coli"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.02"	"Intestinal infection due to enterotoxigenic E. coli"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.03"	"Intestinal infection due to enteroinvasive E. coli"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.04"	"Intestinal infection due to enterohemorrhagic E. coli"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.09"	"Other intestinal E. coli infections"	"008.51"	"Intestinal e.coli"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.1"	"Intestinal infection due to arizona group of paracolon bacilli"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.2"	"Intestinal infection due to aerobacter aerogenes"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.3"	"Intestinal infection due to proteus (mirabilis) (morganii)"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.4"	"Intestinal infection due to other specified bacteria"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.41"	"Intestinal infection due to staphylococcus"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.42"	"Intestinal infection due to pseudomonas"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.43"	"Intestinal infection due to campylobacter"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.44"	"Intestinal infection due to yersinia enterocolitica"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.45"	"Intestinal infection due to clostridium difficile"	"008.52"	"Intestinal infection due to C. difficile"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.46"	"Intestinal infection due to other anaerobes"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.47"	"Intestinal infection due to other gram-negative bacteria"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.49"	"Intestinal infection due to other specified bacteria"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.5"	"Bacterial enteritis, unspecified"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.6"	"Enteritis due to specified virus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.61"	"Enteritis due to rotavirus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.62"	"Enteritis due to adenovirus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.63"	"Enteritis due to norwalk virus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.64"	"Enteritis due to other small round viruses [SRV's]"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.65"	"Enteritis due to calcivirus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.66"	"Enteritis due to astrovirus"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.67"	"Enteritis due to enterovirus NEC"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.69"	"Other viral enteritis"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"008.8"	"Viral enteritis NOS"	"008.6"	"Viral Enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"009"	"Ill-defined intestinal infections"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"009.0"	"Infectious colitis, enteritis, and gastroenteritis"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"009.1"	"Colitis, enteritis, and gastroenteritis of presumed infectious origin"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"009.2"	"Infectious diarrhea"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"009.3"	"Diarrhea of presumed infectious origin"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"010"	"Primary tuberculous infection"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.0"	"Primary tuberculous infection"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.00"	"Primary tuberculous infection, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.01"	"Primary tuberculous infection, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.02"	"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.03"	"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.04"	"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.05"	"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.06"	"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.1"	"Tuberculous pleurisy in primary progressive tuberculosis"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.10"	"Tuberculous pleurisy in primary progressive tuberculosis, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.11"	"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.12"	"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination results unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.13"	"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.14"	"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.15"	"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.16"	"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.8"	"Other primary progressive tuberculosis"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.80"	"Other primary progressive tuberculosis, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.81"	"Other primary progressive tuberculosis, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.82"	"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.83"	"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.84"	"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.85"	"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.86"	"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.9"	"Primary tuberculous infection, unspecified type"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.90"	"Primary tuberculous infection, unspecified type, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.91"	"Primary tuberculous infection, unspecified type, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.92"	"Primary tuberculous infection, unspecified type, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.93"	"Primary tuberculous infection, unspecified type, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.94"	"Primary tuberculous infection, unspecified type, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.95"	"Primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"010.96"	"Primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011"	"Pulmonary tuberculosis"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.0"	"Tuberculosis of lung, infiltrative"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.00"	"Tuberculosis of lung, infiltrative, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.01"	"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.02"	"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.03"	"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.04"	"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.05"	"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.06"	"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.1"	"Tuberculosis of lung, nodular"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.10"	"Tuberculosis of lung, nodular, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.11"	"Tuberculosis of lung, nodular, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.12"	"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.13"	"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.14"	"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.15"	"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.16"	"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.2"	"Tuberculosis of lung with cavitation"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.20"	"Tuberculosis of lung with cavitation, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.21"	"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.22"	"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.23"	"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.24"	"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.25"	"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.26"	"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.3"	"Tuberculosis of bronchus"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.30"	"Tuberculosis of bronchus, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.31"	"Tuberculosis of bronchus, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.32"	"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.33"	"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.34"	"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.35"	"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.36"	"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.4"	"Tuberculous fibrosis of lung"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.40"	"Tuberculous fibrosis of lung, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.41"	"Tuberculous fibrosis of lung, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.42"	"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.43"	"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.44"	"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.45"	"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.46"	"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.5"	"Tuberculous bronchiectasis"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.50"	"Tuberculous bronchiectasis, unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.51"	"Tuberculous bronchiectasis, bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.52"	"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.53"	"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.54"	"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.55"	"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.56"	"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.6"	"Tuberculous pneumonia [any form]"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.60"	"Tuberculous pneumonia [any form], unspecified examination"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.61"	"Tuberculous pneumonia [any form], bacteriological or histological examination not done"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.62"	"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.63"	"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
"011.64"	"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"	"010"	"Tuberculosis"	"010-041.99"	1	0	""	0	1	"infectious diseases"
